Month,DayofMonth,DayOfWeek,DepTime,UniqueCarrier,Origin,Dest,Distance,dep_delayed_15min
8,21,7,1934,0,0,0,732,N
4,20,3,1548,1,1,1,834,N
9,2,5,1422,2,2,2,416,N
11,25,6,1015,3,3,3,872,N
10,7,6,1828,4,4,4,423,Y
8,3,4,1918,5,5,1,683,N
1,27,4,754,6,6,5,1035,N
4,29,6,635,7,7,6,596,N
7,28,5,735,0,8,0,1189,N
6,20,2,2029,3,3,7,853,N
5,21,6,1736,6,9,6,661,N
3,5,7,1205,4,10,8,1262,N
10,6,4,2124,8,11,9,866,N
8,20,6,737,0,12,10,1438,N
11,10,4,1447,9,3,10,948,N
9,20,2,1642,10,13,11,299,N
9,19,2,1801,11,14,12,986,N
7,26,2,620,6,15,13,516,N
10,14,5,1704,3,16,9,689,Y
10,5,4,1205,1,10,14,1671,N
8,22,2,1521,0,17,0,936,N
6,21,3,1519,12,0,15,377,Y
11,26,6,1417,6,18,13,306,N
11,9,3,918,13,19,14,299,N
12,31,6,1837,6,0,16,906,N
4,4,1,635,4,20,17,647,N
7,3,7,1350,0,21,5,1076,N
4,16,7,1235,4,22,18,189,N
5,31,3,1513,10,23,19,607,N
4,18,1,619,0,23,20,1745,N
8,30,3,610,14,24,21,216,N
5,9,1,1327,0,12,22,1213,N
1,20,5,1130,6,23,6,264,N
12,3,7,1653,12,0,23,317,Y
10,1,6,1454,6,16,24,630,N
3,24,4,2303,1,17,25,168,Y
5,6,5,1728,4,25,26,480,Y
5,5,4,650,12,26,13,357,N
1,28,5,2046,10,27,27,501,N
7,9,6,747,10,23,3,491,N
9,20,2,707,10,28,28,372,N
7,15,5,1144,15,3,29,1557,N
3,17,4,823,13,29,30,383,N
4,18,1,1200,4,30,17,1107,N
9,8,5,809,6,31,13,366,N
11,10,4,1825,4,32,20,308,N
3,10,4,742,9,12,11,802,N
4,12,2,1913,10,33,0,304,N
10,3,2,716,9,34,9,954,N
10,20,5,2312,16,35,31,407,Y
9,9,6,1520,14,30,17,1107,Y
2,21,2,555,14,36,17,551,N
7,24,7,1050,7,37,6,756,N
8,14,1,1519,17,10,32,2845,N
2,15,2,1527,10,12,33,158,N
3,17,4,551,9,38,11,137,N
7,21,4,1405,18,32,31,386,N
12,1,4,1854,19,39,17,2153,N
9,5,2,1831,20,0,16,906,Y
6,7,3,1020,4,40,34,291,N
10,28,5,658,11,23,35,719,N
1,18,3,1830,6,0,3,332,N
4,19,2,1519,6,41,13,692,N
1,27,5,1435,4,42,36,328,N
3,26,6,1310,0,43,0,597,N
4,29,5,1928,10,44,0,354,N
10,3,2,827,15,3,37,967,N
7,22,5,1955,7,45,38,612,N
7,25,2,1723,4,3,39,895,N
9,4,7,1645,4,46,40,248,N
4,8,6,631,2,47,2,363,N
6,5,7,1436,1,15,29,211,N
6,6,2,1932,9,3,27,1123,Y
7,2,7,700,5,7,31,1300,N
12,10,7,813,4,22,41,248,N
12,14,4,1809,4,48,34,1156,N
12,15,4,1230,4,40,42,335,N
10,6,5,2010,7,27,43,834,Y
5,15,1,1430,3,49,37,153,N
5,2,2,1350,4,50,44,273,N
4,27,4,557,0,27,11,733,N
11,29,2,610,0,16,11,1249,N
1,24,2,1344,2,51,45,351,N
6,25,7,555,3,52,34,298,N
10,22,6,1248,21,53,26,2462,N
6,16,4,1345,4,54,24,444,Y
10,18,2,1956,0,23,35,719,N
3,12,7,1250,10,55,11,409,Y
12,25,7,1020,4,56,46,1034,N
2,14,2,907,5,12,27,987,N
10,27,4,1907,15,3,0,641,N
1,28,5,2135,4,55,47,612,N
5,9,1,758,0,57,48,1090,N
12,16,6,955,3,16,49,532,N
5,29,1,1709,6,0,50,526,N
3,13,7,1510,7,58,6,170,N
5,10,3,1514,2,59,12,489,N
1,1,6,1100,4,11,39,1521,N
7,21,4,1046,4,25,10,417,Y
1,14,6,937,1,60,51,529,N
7,16,6,1003,0,12,18,190,N
2,3,5,1920,4,34,17,370,Y
4,16,7,1913,1,17,52,546,N
12,24,6,1819,11,51,53,395,N
7,26,3,1152,4,47,31,2176,N
2,19,7,1011,9,3,12,861,N
9,7,4,1922,8,30,54,1449,Y
3,11,5,1735,11,42,12,1235,N
8,28,1,831,20,61,13,515,N
6,4,7,2126,9,3,20,862,N
12,13,3,1953,14,39,30,228,Y
10,24,2,1557,6,0,55,1891,N
3,22,2,605,8,62,56,399,N
5,8,7,1004,8,8,9,956,N
4,25,2,1806,8,35,9,671,N
4,14,5,952,1,17,57,631,N
12,13,3,1547,10,34,58,89,N
10,13,4,1752,3,41,11,403,N
12,9,6,945,14,10,59,438,N
12,15,4,1241,2,44,12,201,Y
8,7,7,1427,3,63,20,36,N
9,13,3,1650,4,64,40,324,N
3,10,5,848,9,7,60,680,N
3,30,4,2120,0,34,61,2342,N
4,11,2,805,12,48,34,1156,N
12,23,6,604,9,28,60,967,N
1,31,2,1431,3,3,62,525,N
9,16,5,843,0,23,60,888,Y
5,23,1,1540,7,65,6,419,N
11,26,7,646,3,23,63,157,N
8,7,7,933,6,61,13,515,N
8,17,3,1317,10,23,19,607,N
10,22,7,1417,4,42,64,283,N
10,14,5,713,5,66,1,957,N
12,28,4,1926,12,0,2,554,N
9,4,7,1733,8,67,9,2329,N
3,17,5,1657,11,10,12,1009,Y
3,4,6,1725,8,68,9,965,N
3,4,5,645,10,25,20,109,N
5,26,5,1636,9,23,64,783,N
1,2,7,1717,9,3,65,649,N
2,24,5,830,9,8,60,819,N
1,22,7,1954,6,0,66,306,Y
6,10,6,1619,12,29,6,317,Y
9,16,5,902,9,63,11,1726,N
6,26,7,1440,4,69,40,319,N
5,2,1,1142,6,0,67,153,N
10,6,4,1340,10,44,0,354,N
2,4,5,1050,4,11,68,407,N
6,1,4,1942,6,0,30,533,Y
10,29,7,912,5,7,20,1536,N
9,11,1,2010,9,34,31,236,N
7,13,3,1335,11,11,12,1222,Y
4,11,2,1851,3,3,3,872,N
5,18,3,1217,5,66,69,74,N
7,19,3,2105,17,4,0,797,N
8,26,6,1634,0,70,0,468,N
8,22,2,553,14,71,11,116,N
7,25,2,1407,15,7,60,680,N
6,24,6,626,10,25,10,417,N
4,27,4,2051,3,23,63,157,N
10,13,4,1132,0,70,0,468,N
10,1,6,1112,8,72,31,762,N
11,18,5,1423,3,34,10,308,N
10,28,5,1322,6,0,8,483,Y
6,1,4,650,5,11,16,1300,N
4,26,3,1210,3,73,70,58,N
8,30,2,1243,10,23,71,67,N
9,22,4,1554,9,28,55,447,N
11,18,5,1955,10,74,72,134,N
8,5,5,1929,9,34,37,337,N
12,1,4,1913,4,32,73,333,N
11,13,1,1528,3,16,10,585,N
2,27,7,1827,3,3,74,563,N
4,18,1,1117,6,50,13,813,N
4,22,6,1438,7,41,1,1072,N
4,28,4,2037,8,30,20,954,N
6,6,2,1736,3,75,11,557,N
4,11,1,1127,18,11,60,629,N
12,3,6,1625,2,51,38,1043,N
7,19,2,1708,10,12,75,282,N
12,28,4,1753,4,76,45,359,Y
6,11,7,1829,3,77,60,197,N
11,11,5,1509,5,66,43,814,N
10,8,6,1056,1,17,29,448,N
6,29,4,2052,2,67,35,199,N
6,16,4,1259,6,16,6,1449,N
5,22,1,834,6,0,76,545,N
9,10,6,1802,5,45,27,632,N
7,9,7,2059,19,39,77,1597,N
5,25,4,905,14,78,60,251,N
5,29,1,1132,1,2,29,336,N
7,9,6,815,13,19,25,441,N
11,3,4,1210,4,56,36,1137,N
9,5,2,835,0,17,0,936,N
6,17,6,1235,14,19,5,229,N
8,4,4,1204,5,8,16,1494,N
3,7,2,1545,12,79,13,448,N
9,2,5,1202,6,80,13,264,N
3,22,3,1412,9,51,60,861,N
4,27,4,1825,4,10,55,304,N
7,4,2,2042,1,11,24,762,N
5,24,2,1058,0,57,5,1097,Y
7,31,1,1647,0,0,61,595,N
6,20,1,920,4,48,53,462,Y
12,23,5,724,11,30,12,1874,N
5,17,3,1252,9,25,30,2253,N
9,26,1,2050,5,4,16,349,Y
1,12,3,633,6,45,13,946,Y
10,14,6,850,0,81,0,237,Y
3,14,1,1140,7,82,78,542,N
1,8,7,1454,12,0,79,528,Y
8,7,1,2037,0,12,24,1616,Y
9,18,7,1622,3,83,34,615,N
2,10,5,930,14,84,30,494,N
5,17,2,615,4,54,10,188,N
7,7,4,1124,3,85,34,188,N
3,4,6,1127,5,86,27,957,N
4,11,2,2141,3,23,3,491,Y
4,8,6,725,7,46,6,1024,Y
10,7,6,2112,6,16,24,630,N
4,5,2,550,4,10,31,256,N
7,16,7,1806,6,0,29,665,N
3,27,7,1125,4,8,26,389,N
3,17,5,1815,5,10,16,1276,Y
2,27,1,1915,19,21,48,1069,N
4,27,4,750,3,34,80,677,N
5,13,5,1329,6,0,43,270,N
12,23,5,1727,3,87,37,250,Y
10,1,7,1337,19,39,76,1028,Y
4,11,1,1618,6,0,20,1946,N
4,29,5,828,5,88,27,668,N
7,27,4,1323,4,47,1,861,Y
2,23,3,657,6,48,13,483,N
11,26,6,1024,5,66,69,74,N
12,23,5,555,7,89,6,506,N
3,11,5,1747,9,90,11,837,N
5,4,4,1820,9,3,16,680,N
7,13,3,1229,12,0,16,906,N
2,20,1,1534,21,91,81,84,N
9,10,6,1729,7,39,8,892,N
11,16,3,1407,0,27,82,764,N
7,18,2,1856,9,3,42,804,Y
4,13,4,926,10,27,38,431,N
9,28,4,1748,11,28,12,1635,N
6,17,5,1425,7,13,6,505,N
4,17,7,2029,2,92,82,448,N
3,10,5,802,3,16,83,188,N
6,2,5,1804,12,0,84,350,Y
5,15,7,726,11,60,1,938,N
3,28,2,1656,9,23,50,412,Y
6,2,4,1653,1,41,51,809,N
6,3,5,2017,6,93,13,302,Y
2,2,4,710,4,42,1,787,N
6,24,5,1002,20,94,13,528,N
4,12,3,925,6,0,41,874,N
3,6,7,1712,5,7,31,1300,N
5,21,6,1604,10,25,10,417,N
8,6,7,1917,1,67,47,814,N
2,21,1,1259,6,63,34,588,N
5,6,6,1901,1,61,51,600,N
4,6,3,621,5,67,27,405,N
4,8,5,1046,10,33,0,304,N
1,17,1,645,12,95,13,331,N
9,18,7,1641,12,13,13,743,N
2,10,5,1453,3,3,74,563,N
4,7,4,1525,10,33,0,304,N
6,29,4,1606,2,96,12,192,Y
2,1,3,1123,4,97,55,367,N
12,31,7,1503,4,3,31,629,N
11,21,2,1311,5,98,27,231,N
5,31,2,959,9,48,11,258,N
12,15,4,1456,10,34,55,109,N
8,10,3,2255,12,0,85,303,N
8,4,5,1445,16,53,86,216,N
11,15,2,705,13,99,30,401,N
12,3,7,1507,3,16,42,422,N
3,31,5,1311,2,47,2,363,N
12,3,7,1220,7,39,52,301,N
6,2,4,1710,4,16,65,291,N
3,12,6,2022,3,97,20,451,N
8,13,7,1808,0,86,0,984,Y
7,2,6,1334,5,7,1,1310,N
9,5,1,2233,3,28,87,191,N
5,6,6,1401,4,35,24,543,Y
9,23,6,1906,4,100,47,1137,N
5,20,6,1209,0,8,0,1189,N
2,27,7,1908,7,67,88,399,N
12,26,1,758,8,30,89,680,N
11,27,7,831,3,23,90,438,N
10,29,7,1715,5,101,27,296,N
4,7,5,630,2,88,12,925,N
7,10,7,652,2,44,12,201,N
8,22,1,638,3,102,34,575,N
12,5,1,1640,4,35,55,446,N
8,21,7,733,6,19,13,533,N
6,29,4,2055,0,12,82,631,N
7,19,2,1838,5,7,38,981,N
8,15,2,1700,12,103,13,208,Y
2,5,7,2040,1,47,37,2521,Y
12,25,1,809,4,47,91,1335,Y
10,21,6,1313,12,4,13,590,N
12,19,1,1455,7,82,92,623,N
4,20,3,1725,5,56,27,983,N
6,14,2,1442,6,50,6,958,N
12,5,1,1229,9,3,5,1619,N
3,21,2,2125,4,22,93,237,N
8,29,1,1920,2,92,94,339,N
6,16,4,1120,4,35,28,371,Y
11,22,3,709,4,104,18,528,N
9,21,4,1140,4,46,40,248,N
12,11,1,2352,9,23,37,1846,Y
4,27,3,920,7,105,6,413,N
5,21,7,949,5,66,36,614,N
12,29,5,1500,5,66,47,983,Y
1,19,4,2053,10,45,48,187,N
8,10,4,2115,10,12,95,313,Y
10,4,3,1152,11,51,1,853,N
9,10,6,730,4,35,28,371,N
8,24,3,1649,18,42,17,1999,N
5,22,7,1456,10,12,96,304,N
12,19,1,727,2,37,35,1325,N
8,20,7,616,10,106,11,67,N
